Product Name,Short Description,Description,Price
Emails de communautés de communes,8.169 adresses emails de communautés de communes et communautés d'agglomération,"Les 8.169 adresses e-mails des communautés de communes et communautés d'agglomération sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",100
Base adresses emails de mairies,67.684 adresses emails uniques de mairies,"Les 67.684 adresses e-mails des mairies sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL

Notre fichier des mairies contient principalement les adresses du secrétariat général, du secrétariat du maire, parfois de l'élu, du service technique de la mairie, adresse de mairie de type mairie-ville@orange.fr etc etc
Le nombre d'habitants n'est pas indiqué. Il peut y avoir une ou plusieurs adresses e-mails de différents services pour la même mairie.
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",350
Adresses emails conseils généraux conseils régionaux,4.285 adresses emails des conseils généraux et conseils régionaux,"Les 4.285 adresses e-mails des conseils généraux et conseils régionaux sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",60
"Emails des cci chambres de commerce et d'industrie, de métiers et de l'artisanat, d'agriculture",3.369 adresses emails des chambres de commerce et d'industrie de métiers et de l'artisanat et d'agriculture,"Les 3.369 adresses e-mails des chambres de commerce et d'industrie, chambres des métiers et de l'artisanat, et les chambres d'agriculture  sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - ACTIVITE - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",40
Adresses emails assistantes sociales,"1.774 adresses emails d'assistantes sociales, des affaires sanitaires et sociales","Les 1.774 adresses e-mails des assistantes sociales, des affaires sanitaires et sociales sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",29
Adresses emails bibliothèques médiathèques,13.973 adresses emails de bibliothèques et médiathèques,"Les 13.973 adresses e-mails des bibliothèques et médiathèques sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",160
Base d'adresses emails de musées,6.097 adresses emails de musées,"Les 6.097 adresses e-mails des musées sont fournies sur un fichier Excel avec les colonnes NOM - ADRESSE - CODE POSTAL - VILLE - TELEPHONE - ADRESSE E-MAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",80
Base d'adresses emails des CAT établissements de travail protégé pour personnes handicapées,3.667 adresses emails des CAT et ESAT (établissement et service d'aide par le travail),"Les 3.667 adresses emails des CAT et ESAT (établissement et service d'aide par le travail) pour personnes handicapées sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",55
Emails organismes de développement économique,2.246 adresses emails des organismes de développement économique,"Les 2.246 adresses e-mails des organismes de développement économique sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",30
Base d'adresses emails des stades et complexes sportifs,22.388 adresses emails des stades et complexes sportifs,"Les 22.388 adresses e-mails des stades et complexes sportifs sont fournies sur un fichier XLS avec les colonnes NOM - ADRESSE - CP - VILLE - TEL - EMAIL
Nous ajoutons systématiquement les champs FORME JURIDIQUE / NOM DU DIRIGEANT / DATE DE CREATION / SIRET / SIREN / CODE NAF APE / CHIFFRE D'AFFAIRES / RESULTAT / NOMBRE DE SALARIÉS EFFECTIF que nous avons en notre possession.",120
